name,type_dish,time_eat,ingredients,recipe_steps,recipe_link,name_ingredients
"Тост зі збитим маслом, джемом і фермерським сиром",Закуска/Снек,В будь-який час,"['вершкове масло: 50гр.', 'вершковий сир: 50гр.', 'заморожена чорниця: 300гр.', 'цукор: 100гр.', 'сік лимонний: 2гр.', 'цедра лимона: 2гр.', 'хліб скибочка: 1шт.', 'збите вершкове масло: 30гр.', 'чорничний джем: 30гр.', 'блакитний сир: 30гр.']","['Крок #1\\\\\\\\\\\\\\\\nВершкове масло повинне бути м’яким, позаяк до використання тримайте його при кімнатній температурі або злегка розігрійте у мікрохвильовці протягом 10-15 хв. За допомогою міксера змішайте вершкове масло та м’який сир до повітряної маси.', 'Крок #2\\\\\\\\\\\\\\\\nДля джему можна взяти будь-які улюблені ягоди. Якщо немає свіжих, візьміть заморожені. Фрукти також підійдуть. Змішайте, наприклад, чорницю, цукор, лимонні сік і цедру у сотейнику та варіть до бажаної густоти.', 'Крок #3\\\\\\\\\\\\\\\\nШматок хліба підсмажте на сухій пательні або грилі, або трохи підсушіть у духовці.', 'Крок #4\\\\\\\\\\\\\\\\nДодайте до нього вершкове масло, джем, шматочок сиру з блакитною пліснявою.', 'Крок #5\\\\\\\\\\\\\\\\nІз цієї страви також легко зробити сендвіч - просто складіть всі інгредієнти шарами один на одний. При бажанні сендвіч можна додатково підігріти на грилі або сухій пательні.']",https://harchi.info/recipe/tost-zi-zbytym-maslom-dzhemom-i-fermerskym-syrom-8480,"['вершкове масло', 'вершковий сир', 'заморожена чорниця', 'цукор', 'сік лимонний', 'цедра лимона', 'хліб скибочка', 'збите вершкове масло', 'чорничний джем', 'блакитний сир']"
Сендвіч з пастромою із індички,Закуска/Снек,В будь-який час,"['хліб тостовий: 100гр.', 'салат мікс: 10гр.', 'огірки мариновані: 25гр.', 'перець печений: 25гр.', 'гірчичний айолі: 40гр.', 'пастрома з індички: 100гр.', 'гірчиця у зернах: 10гр.', 'гірчиця діжонська: 10гр.', 'сіль: 1гр.', 'олія рослинна: 100гр.', 'жовток курячий: 2шт.']","['Крок #1\\\\\\\\\\\\\\\\nОбидва види гірчиці, сіль та жовток змішайте у блендері, після чого поступово додайте олію тонкою цівкою до загустіння соусу. Доведіть гірчичний айолі до смаку сіллю і перцем.', 'Крок #2\\\\\\\\\\\\\\\\nХліб посмажте з обох боків до золотистої скоринки, змастіть отриманим соусом.', 'Крок #3\\\\\\\\\\\\\\\\nВикладіть мікс салату, потім шматочки печеного болгарського перцю (можна купити готовий або приготувати власноруч), додайте слайси маринованого огірка.', 'Крок #4\\\\\\\\\\\\\\\\nДодайте пастрому з індички та накрийте сендвіч другим шматком хліба. Розріжте канапку навпіл та скріпіть шпажками.', 'Крок #5\\\\\\\\\\\\\\\\nРозріжте канапку навпіл та скріпіть шпажками.']",https://harchi.info/recipe/sendvich-z-pastromoyu-iz-indychky-8483,"['хліб тостовий', 'салат мікс', 'огірки мариновані', 'перець печений', 'гірчичний айолі', 'пастрома з індички', 'гірчиця у зернах', 'гірчиця діжонська', 'сіль', 'олія рослинна', 'жовток курячий']"
Крок-месьє,Закуска/Снек,В будь-який час,"['булочка бріош: 100гр.', 'підкопчений свинячий окіст: 50гр.', 'сир твердий: 30гр.', 'трюфельний майонез: 30гр.', 'сир пармезан: 10гр.', 'яйце куряче: 1шт.', 'молоко: 15гр.']","['Крок #1\\\\\\\\\\\\\\\\nКожну скибочку булочки бріош рівномірно змастіть трюфельним майонезом.', 'Крок #2\\\\\\\\\\\\\\\\nВикладіть два слайси сиру і тонко нарізаного окосту на кожну скибочку булочки, з’єднайте обидві половинки у сендвіч.', 'Крок #3\\\\\\\\\\\\\\\\nДля приготування кляру куряче яйце добре змішайте з молоком за допомогою вінчика, після чого добре вимочіть сендвіч, щоб бріош увібрала соус.', 'Крок #4\\\\\\\\\\\\\\\\nПосмажте сендвіч з обох боків у розігрітій пательні до характерного золотистого кольору і поставте запікатися у духовку на 5 хв, щоб сир всередині також розплавився.', 'Крок #5\\\\\\\\\\\\\\\\nПри подачі розріжте сендвіч на 2 частини, зверху посипте тертим пармезаном.']",https://harchi.info/recipe/krok-mesye-8481,"['булочка бріош', 'підкопчений свинячий окіст', 'сир твердий', 'трюфельний майонез', 'сир пармезан', 'яйце куряче', 'молоко']"
Крок-мадам,Закуска/Снек,В будь-який час,"['бріош: 60гр.', 'свинячий окіст: 40гр.', 'соус бешамель: 20гр.', 'сир моцарела: 20гр.', 'чебрець: 2гр.']","['Крок #1\\\\\\\\\\\\\\\\nВізьміть 2 тонких скибочки бріош і змастіть їх соусом бешамель, після посипте моцарелою.', 'Крок #2\\\\\\\\\\\\\\\\nПотім на одну зі скибочок викладіть свинячий окіст і накрийте зверху іншою скибочкою хліба.', 'Крок #3\\\\\\\\\\\\\\\\nРозігрійте духовку до 170 градусів і запечіть канапку протягом 6-7 хв.', 'Крок #4\\\\\\\\\\\\\\\\nПри подачі прикрасьте сендвіч чебрецем.']",https://harchi.info/recipe/krok-madam-8482,"['бріош', 'свинячий окіст', 'соус бешамель', 'сир моцарела', 'чебрець']"
Каррі-суп з халумі,Суп,В будь-який час,"['вода: 1л.', 'цукор: 7гр.', 'сіль: 7гр.', 'томатна паста: 50гр.', 'куркума: 35гр.', 'червона паста каррі: 70гр.', 'часник: 35гр.', 'масло вершкове: 15гр.', 'фреш лайма: 17мл.', 'кінза: 20гр.', 'вершки рідкі: 25мл.', 'морква: 2кг.', 'лемонграс: 7гр.', 'лист лайма: 7гр.', 'молоко кокосове: 2л.', 'сир халумі: 40гр.', 'кунжут: 1гр.', 'рисова локшина: 30гр.', 'олія чилі: 2гр.', 'олія петрушки: 2гр.']","['Крок #1\\\\\\\\\\\\\\\\nМоркву, цибулю, часник та імбир довільно наріжте і посмажте до золотистого кольору. Додайте вершкове масло, потім посмажте спеції і пасту каррі, томатну пасту у вершковому маслі разом з овочами. Головне - не перепалити спеції, а акуратно підсмажити їх.', 'Крок #2\\\\\\\\\\\\\\\\nУсе залийте теплою чи гарячою водою та варіть до готовності овочів з додаванням лемонграсу, листів лайму та кінзою.', 'Крок #3\\\\\\\\\\\\\\\\nПотім додайте вершки і кокосове молоко, доведіть до смаку за допомогою цукру, солі і фрешу лайма.', 'Крок #4\\\\\\\\\\\\\\\\nПодавайте суп зі смаженим сиром халумі, кінзою та кунжутом. Додайте олію петрушки та чилі. Спочатку викладіть у тарілку локшину, після чого додайте суп.']",https://harchi.info/recipe/karri-sup-z-halumi-8441,"['вода', 'цукор', 'сіль', 'томатна паста', 'куркума', 'червона паста каррі', 'часник', 'масло вершкове', 'фреш лайма', 'кінза', 'вершки рідкі', 'морква', 'лемонграс', 'лист лайма', 'молоко кокосове', 'сир халумі', 'кунжут', 'рисова локшина', 'олія чилі', 'олія петрушки']"
Чаудер з гребінцем,Суп,В будь-який час,"['бульйон курячий: 500мл.', 'картопля варена: 250гр.', 'пасерована ріпчаста цибуля: 70гр.', 'часник печений: 10гр.', 'плавлений сир: 150гр.', 'вершки рідкі 22%: 200мл.', 'гребінець: 120гр.', 'помідор черрі: 100гр.', 'петрушка: 20гр.']","['Крок #1\\\\\\\\\\\\\\\\nДоведіть бульйон до кипіння і додайте варену картоплю, пасеровану цибулю та печений часник. Варіть протягом 15-20 хв.', 'Крок #2\\\\\\\\\\\\\\\\nДодайте вершки, плавлений сир і знову доведіть суп до кипіння.', 'Крок #3\\\\\\\\\\\\\\\\nПеребийте суп до однорідної консистенції. Отриману масу перетріть через дрібне сито, додайте сіль за смаком.', 'Крок #4\\\\\\\\\\\\\\\\nУ сотейнику розігрійте оливкову олію та посмажте на сильному вогні розрізані навпіл помідори черрі, у кінці додайте подрібнену петрушку та сирий гребінець. Зніміть сотейник з вогні, не дозволяючи гребінцю дойти до повної готовності.', 'Крок #5\\\\\\\\\\\\\\\\nРозлийте суп у тарілки та додайте смажені помідори з гребінцем.']",https://harchi.info/recipe/chauder-z-grebincem-8440,"['бульйон курячий', 'картопля варена', 'пасерована ріпчаста цибуля', 'часник печений', 'плавлений сир', 'вершки рідкі 22%', 'гребінець', 'помідор черрі', 'петрушка']"
Медовий пиріг з хурмою,Випічка,В будь-який час,"['борошно: 100гр.', 'сіль: 0,5ч. л.', 'розпушувач тіста: 1ч. л.', 'яйце куряче: 2шт.', 'цукор: 150гр.', 'масло вершкове: 100гр.', 'мед: 40гр.', 'цедра апельсина: 1ст. л.', 'сік апельсиновий: 40гр.']","['Крок #1\\\\\\\\\\\\\\\\nЗмішайте апельсиновий сік і 70 г цукру, прокип’ятіть, щоб отримати сироп.', 'Крок #2\\\\\\\\\\\\\\\\nЗастеліть форму (діаметром 22-25 см) пергаментом і вилийте сироп. На сироп викладіть шматочки тонко нарізаної хурми.', 'Крок #3\\\\\\\\\\\\\\\\nРозтопіть масло, додайте мед та апельсинову цедру.', 'Крок #4\\\\\\\\\\\\\\\\n2 яйця збийте з цукром до пухкої білої маси, після чого додайте її в охолоджену суміш масла та меду. Перемішайте і додайте просіяне борошно, розпушувач та сіль. Замісіть тісто, яке за консистенцією повинно нагадувати сметану.', 'Крок #5\\\\\\\\\\\\\\\\nВикладіть тісто у форму та випікайте у духовці протягом 45 хв при температурі 180 градусів.', 'Крок #6\\\\\\\\\\\\\\\\nКоли пиріг буде готовий, перегорніть його на тарілку папером догори. Змініть пергамент, подавайте до чаю, при бажанні доповнивши кулькою морозива.']",https://harchi.info/recipe/medovyy-pyrig-z-hurmoyu-8452,"['борошно', 'сіль', '5ч. л.', 'розпушувач тіста', 'яйце куряче', 'цукор', 'масло вершкове', 'мед', 'цедра апельсина', 'сік апельсиновий']"
Бельгійський мигдалевий пиріг,Випічка,В будь-який час,"['мигдаль: 130гр.', 'борошно: 80гр.', 'масло вершкове: 130гр.', 'цукор: 130гр.', 'ванільний цукор: 30гр.', 'яйце куряче: 3шт.']","['Крок #1\\\\\\\\\\\\\\\\nМигдаль залийте кип’ятком та залишіть на 5 хв. Воду злийте і зніміть шкірку з горіхів. Чищений мигдаль викладіть на пергаментний папір і поставте у розігріту до 180 градусів духовку на 15 хв. Після приготування охолодіть, а потім перебийте блендером до дрібної крихти.', 'Крок #2\\\\\\\\\\\\\\\\nТоплене вершкове масло змішайте з 2 видами цукру до пухкої кремоподібної маси.', 'Крок #3\\\\\\\\\\\\\\\\nВідділіть білки від жовтків. Останні поступово додайте до масляно-цукрової суміші разом з мигдалем. Усе ретельно перемішайте.', 'Крок #4\\\\\\\\\\\\\\\\nБілки окремо збийте у щільну піну. Потім акуратно додайте у масляно-цукрову суміш, постійно помішуючи.', 'Крок #5\\\\\\\\\\\\\\\\nГотове тісто викладіть у форму для випічки та поставте у розігріту до 200 градусів духовку на 40-45 хв.', 'Крок #6\\\\\\\\\\\\\\\\nГотовий пиріг посипте подрібненим мигдалем.']",https://harchi.info/recipe/belgiyskyy-mygdalevyy-pyrig-8451,"['мигдаль', 'борошно', 'масло вершкове', 'цукор', 'ванільний цукор', 'яйце куряче']"
Угорський суп-гуляш,Суп,В будь-який час,"['яловичина рвана: 40гр.', 'картопля чищена: 90гр.', 'морква: 30гр.', 'селера стеблі: 30гр.', 'болгарський перець: 30гр.', 'часник зубчики: 1шт.', 'кінза: 3гр.', 'помідори у власному соці: 120гр.', 'бульйон курячий: 240мл.', 'зіра: 4гр.', 'коріандр: 4гр.', 'паприка суха: 2гр.', 'цукор: 2гр.', 'насіння кмину: 2гр.', 'олія оливкова: 5мл.', 'сіль морська: 4гр.', 'чорний перець: 4гр.', 'соус шрірача: 5гр.']","['Крок #1\\\\\\\\\\\\\\\\nДля приготування яловичини візьміть гомілку, посоліть і поперчіть за смаком, посмажте на грилі, щоб спеції розкрилися, а після томіть у каструлі протягом 5 год. Охолодіть та розберіть на волокна.', 'Крок #2\\\\\\\\\\\\\\\\nБолгарський перець запечіть у духовці. Накрийте готовий перець фольгою, щоб шкірка легко відійшла. Після чого почистіть його і наріжте.', 'Крок #3\\\\\\\\\\\\\\\\nДрібно наріжте селеру, моркву - півколами, картоплю - кубиками. У розігрітий сотейник додайте оливкову олію, викладіть моркву та селеру, пасеруйте, додайте картоплю.', 'Крок #4\\\\\\\\\\\\\\\\nЗалийте овочі курячим бульйоном і додайте томати у власному соці, перебиті у блендері. Доведіть до кипіння.', 'Крок #5\\\\\\\\\\\\\\\\nДодайте нарізаний печений перець, подрібнені кінзу і часник. Тушкуйте на середньому вогні до готовності. Далі додайте спеції і соус шрірача.', 'Крок #6\\\\\\\\\\\\\\\\nУ готовий суп викладіть рвану яловичину.']",https://harchi.info/recipe/ugorskyy-sup-gulyash-8439,"['яловичина рвана', 'картопля чищена', 'морква', 'селера стеблі', 'болгарський перець', 'часник зубчики', 'кінза', 'помідори у власному соці', 'бульйон курячий', 'зіра', 'коріандр', 'паприка суха', 'цукор', 'насіння кмину', 'олія оливкова', 'сіль морська', 'чорний перець', 'соус шрірача']"
Гарбузово-шоколадний суп,Десерт,В будь-який час,"['гарбуз печений: 500гр.', 'олія кокосова: 2ч. л.', 'мед: 2ч. л.', 'бальзамік: 1ч. л.', 'темний шоколад 70%: 200гр.', 'молоко: 400мл.', 'вершки рідкі: 50мл.', 'гвоздика: 3шт.', 'чорний перець горошком: 4шт.', 'свіжий перець чилі: 1/2шт.', 'кориця мелена: 1/4ч. л.', 'цукор: 2гр.']","['Крок #1\\\\\\\\\\\\\\\\nКоров’ячі молоко та вершки при бажанні можна замінити на рослинні аналоги.', 'Крок #2\\\\\\\\\\\\\\\\nГарбуз помийте, наріжте зі шкіркою на скибочки товщиною 8-10 мм. Викладіть на застелене пергаментом деко.', 'Крок #3\\\\\\\\\\\\\\\\nЗмішайте мед і бальзамік (якщо мед густий, важливо почати саме з цього, якщо рідкий - то немає різниці), додайте кокосову олію. Перемішайте до однорідної консистенції за допомогою ложки.', 'Крок #4\\\\\\\\\\\\\\\\nЗмастіть гарбуз отриманою сумішшю і поставте у розігріту до 180 градусів духовку на 1 год.', 'Крок #5\\\\\\\\\\\\\\\\nШоколад поламайте на шматочки, викладіть у сотейник. Додайте 300 мл молока. Поставте на водяну баню. Для цього візьміть каструлю побільше, налийте туди трохи води, а зверху помістіть сотейник так, щоб вода його не торкалася, і поставте велику каструлю на вогонь. Коли вода у каструлі закипить, шоколад почне танути.', 'Крок #6\\\\\\\\\\\\\\\\nПоки шоколад тане, підготуйте печений гарбуз. Зніміть шкірку, викладіть 250 г гарбуза і 100 мл молока, а також перець чилі у блендер, збийте до консистенції гладкого пюре.', 'Крок #7\\\\\\\\\\\\\\\\nКоли шоколад розтане, змішайте його з молоком за допомогою вінчика, зніміть сотейник з водяної бані.', 'Крок #8\\\\\\\\\\\\\\\\nДодайте гарбузове пюре, спеції, все перемішайте і готуйте на слабкому вогні протягом 5-7 хв.', 'Крок #9\\\\\\\\\\\\\\\\nРозлийте у горнятка, додайте трохи вершків і прикрасьте какао та чилі.']",https://harchi.info/recipe/garbuzovo-shokoladnyy-sup-8438,"['гарбуз печений', 'олія кокосова', 'мед', 'бальзамік', 'темний шоколад 70%', 'молоко', 'вершки рідкі', 'гвоздика', 'чорний перець горошком', 'свіжий перець чилі', 'кориця мелена', 'цукор']"
